year,state,price-received
1944,nebraska,0.97
1945,illinois,1.21
1945,indiana,1.22
1945,iowa,1.23
1945,minnesota,1.08
1945,missouri,
1945,nebraska,1.13
1946,illinois,1.51
1946,indiana,1.49
1946,iowa,1.53
1946,minnesota,1.4
1946,missouri,
1946,nebraska,1.51
1947,illinois,2.22
1947,indiana,2.16
1947,iowa,2.15
1947,minnesota,2.08
1947,missouri,
1947,nebraska,2.12
1948,illinois,1.27
1948,indiana,1.25
1948,iowa,1.31
1948,minnesota,1.21
1948,missouri,
1948,nebraska,1.29
1949,illinois,1.25
1949,indiana,1.2
1949,iowa,1.27
1949,minnesota,1.19
1949,missouri,1.21
1949,nebraska,1.21
1950,illinois,1.59
1950,indiana,1.59
1950,iowa,1.52
1950,minnesota,1.43
1950,missouri,1.48
1950,nebraska,1.45
1951,illinois,1.7
1951,indiana,1.68
1951,iowa,1.61
1951,minnesota,1.4
1951,missouri,1.77
1951,nebraska,1.55
1952,illinois,1.52
1952,indiana,1.5
1952,iowa,1.5
1952,minnesota,1.4
1952,missouri,1.52
1952,nebraska,1.49
1953,illinois,1.49
1953,indiana,1.45
1953,iowa,1.5
1953,minnesota,1.45
1953,missouri,1.51
1953,nebraska,1.47
1954,illinois,1.44
1954,indiana,1.37
1954,iowa,1.45
1954,minnesota,1.34
1954,missouri,1.52
1954,nebraska,1.46
1955,illinois,1.38
1955,indiana,1.32
1955,iowa,1.44
1955,minnesota,1.37
1955,missouri,1.34
1955,nebraska,1.44
1956,illinois,1.31
1956,indiana,1.27
1956,iowa,1.31
1956,minnesota,1.22
1956,missouri,1.32
1956,nebraska,1.36
1957,illinois,1.15
1957,indiana,1.11
1957,iowa,1.05
1957,minnesota,0.91
1957,missouri,1.12
1957,nebraska,1.09
1958,illinois,1.13
1958,indiana,1.11
1958,iowa,1.08
1958,minnesota,1.01
1958,missouri,1.11
1958,nebraska,1.12
1959,illinois,1.06
1959,indiana,1.03
1959,iowa,1.01
1959,minnesota,0.96
1959,missouri,1.05
1959,nebraska,1.03
1960,illinois,1.0
1960,indiana,0.98
1960,iowa,0.97
1960,minnesota,0.91
1960,missouri,1.0
1960,nebraska,0.98
1961,illinois,1.1
1961,indiana,1.05
1961,iowa,1.09
1961,minnesota,1.03
1961,missouri,1.11
1961,nebraska,1.11
1962,illinois,1.12
1962,indiana,1.08
1962,iowa,1.09
1962,minnesota,1.05
1962,missouri,1.13
1962,nebraska,1.11
1963,illinois,1.12
1963,indiana,1.1
1963,iowa,1.05
1963,minnesota,1.03
1963,missouri,1.14
1963,nebraska,1.08
1964,illinois,1.17
1964,indiana,1.15
1964,iowa,1.12
1964,minnesota,1.09
1964,missouri,1.19
1964,nebraska,1.16
1965,illinois,1.16
1965,indiana,1.12
1965,iowa,1.13
1965,minnesota,1.06
1965,missouri,1.15
1965,nebraska,1.17
1966,illinois,1.25
1966,indiana,1.23
1966,iowa,1.17
1966,minnesota,1.16
1966,missouri,1.3
1966,nebraska,1.19
1967,illinois,1.02
1967,indiana,0.99
1967,iowa,1.01
1967,minnesota,0.98
1967,missouri,1.1
1967,nebraska,1.05
1968,illinois,1.1
1968,indiana,1.05
1968,iowa,1.07
1968,minnesota,1.02
1968,missouri,1.09
1968,nebraska,1.09
1969,illinois,1.18
1969,indiana,1.15
1969,iowa,1.11
1969,minnesota,1.05
1969,missouri,1.19
1969,nebraska,1.09
1970,illinois,1.37
1970,indiana,1.36
1970,iowa,1.25
1970,minnesota,1.18
1970,missouri,1.4
1970,nebraska,1.25
1971,illinois,1.09
1971,indiana,1.01
1971,iowa,1.04
1971,minnesota,1.01
1971,missouri,1.1
1971,nebraska,1.11
1972,illinois,1.59
1972,indiana,1.56
1972,iowa,1.65
1972,minnesota,1.5
1972,missouri,1.43
1972,nebraska,1.53
1973,illinois,2.64
1973,indiana,2.51
1973,iowa,2.58
1973,minnesota,2.48
1973,missouri,2.52
1973,nebraska,2.41
1974,illinois,3.02
1974,indiana,3.03
1974,iowa,2.97
1974,minnesota,2.92
1974,missouri,3.15
1974,nebraska,2.92
1975,illinois,2.56
1975,indiana,2.48
1975,iowa,2.5
1975,minnesota,2.5
1975,missouri,2.59
1975,nebraska,2.48
1976,illinois,2.14
1976,indiana,2.1
1976,iowa,2.05
1976,minnesota,2.03
1976,missouri,2.27
1976,nebraska,2.06
1977,illinois,2.09
1977,indiana,1.97
1977,iowa,1.99
1977,minnesota,1.9
1977,missouri,2.05
1977,nebraska,1.97
1978,illinois,2.3
1978,indiana,2.23
1978,iowa,2.17
1978,minnesota,2.08
1978,missouri,2.26
1978,nebraska,2.22
1979,illinois,2.57
1979,indiana,2.55
1979,iowa,2.42
1979,minnesota,2.29
1979,missouri,2.43
1979,nebraska,2.42
1980,illinois,3.14
1980,indiana,3.16
1980,iowa,2.97
1980,minnesota,2.85
1980,missouri,3.26
1980,nebraska,3.04
1981,illinois,2.53
1981,indiana,2.47
1981,iowa,2.41
1981,minnesota,2.33
1981,missouri,2.48
1981,nebraska,2.51
1982,illinois,2.61
1982,indiana,2.41
1982,iowa,2.69
1982,minnesota,2.57
1982,missouri,2.7
1982,nebraska,2.82
1983,illinois,3.26
1983,indiana,3.3
1983,iowa,3.12
1983,minnesota,3.06
1983,missouri,3.4
1983,nebraska,3.13
1984,illinois,2.66
1984,indiana,2.6
1984,iowa,2.51
1984,minnesota,2.47
1984,missouri,2.69
1984,nebraska,2.58
1985,illinois,2.27
1985,indiana,2.2
1985,iowa,2.02
1985,minnesota,2.05
1985,missouri,2.14
1985,nebraska,2.22
1986,illinois,1.54
1986,indiana,1.53
1986,iowa,1.41
1986,minnesota,1.46
1986,missouri,1.45
1986,nebraska,1.52
1987,illinois,1.96
1987,indiana,2.08
1987,iowa,1.89
1987,minnesota,1.98
1987,missouri,1.82
1987,nebraska,1.96
1988,illinois,2.59
1988,indiana,2.65
1988,iowa,2.45
1988,minnesota,2.4
1988,missouri,2.63
1988,nebraska,2.48
1989,illinois,2.4
1989,indiana,2.47
1989,iowa,2.29
1989,minnesota,2.27
1989,missouri,2.38
1989,nebraska,2.3
1990,illinois,2.36
1990,indiana,2.31
1990,iowa,2.21
1990,minnesota,2.17
1990,missouri,2.38
1990,nebraska,2.28
1991,illinois,2.46
1991,indiana,2.45
1991,iowa,2.3
1991,minnesota,2.22
1991,missouri,2.45
1991,nebraska,2.34
1992,illinois,2.11
1992,indiana,2.09
1992,iowa,2.0
1992,minnesota,1.91
1992,missouri,2.11
1992,nebraska,2.09
1993,illinois,2.57
1993,indiana,2.51
1993,iowa,2.44
1993,minnesota,2.26
1993,missouri,2.58
1993,nebraska,2.52
1994,illinois,2.27
1994,indiana,2.25
1994,iowa,2.22
1994,minnesota,2.23
1994,missouri,2.25
1994,nebraska,2.33
1995,illinois,3.3
1995,indiana,3.38
1995,iowa,3.2
1995,minnesota,3.14
1995,missouri,3.48
1995,nebraska,3.22
1996,illinois,2.79
1996,indiana,2.78
1996,iowa,2.6
1996,minnesota,2.47
1996,missouri,2.77
1996,nebraska,2.64
1997,illinois,2.53
1997,indiana,2.53
1997,iowa,2.33
1997,minnesota,2.15
1997,missouri,2.45
1997,nebraska,2.32
1998,illinois,2.04
1998,indiana,2.11
1998,iowa,1.86
1998,minnesota,1.71
1998,missouri,1.92
1998,nebraska,1.88
1999,illinois,1.91
1999,indiana,1.88
1999,iowa,1.72
1999,minnesota,1.6
1999,missouri,1.96
1999,nebraska,1.75
2000,illinois,1.91
2000,indiana,1.9
2000,iowa,1.75
2000,minnesota,1.71
2000,missouri,1.78
2000,nebraska,1.9
2001,illinois,2.04
2001,indiana,1.98
2001,iowa,1.9
2001,minnesota,1.9
2001,missouri,1.96
2001,nebraska,1.94
2002,illinois,2.35
2002,indiana,2.41
2002,iowa,2.22
2002,minnesota,2.15
2002,missouri,2.45
2002,nebraska,2.32
2003,illinois,2.42
2003,indiana,2.53
2003,iowa,2.37
2003,minnesota,2.35
2003,missouri,2.46
2003,nebraska,2.39
2004,illinois,2.14
2004,indiana,1.99
2004,iowa,1.99
2004,minnesota,1.94
2004,missouri,2.03
2004,nebraska,2.02
2005,illinois,2.08
2005,indiana,2.0
2005,iowa,1.94
2005,minnesota,1.86
2005,missouri,2.03
2005,nebraska,1.92
2006,illinois,3.07
2006,indiana,3.17
2006,iowa,3.03
2006,minnesota,2.89
2006,missouri,3.06
2006,nebraska,3.0
2007,illinois,4.09
2007,indiana,4.39
2007,iowa,4.29
2007,minnesota,4.13
2007,missouri,4.17
2007,nebraska,4.14
2008,illinois,4.01
2008,indiana,4.1
2008,iowa,4.1
2008,minnesota,3.92
2008,missouri,4.11
2008,nebraska,4.05
2009,illinois,3.53
2009,indiana,3.66
2009,iowa,3.59
2009,minnesota,3.47
2009,missouri,3.58
2009,nebraska,3.58
2010,illinois,5.24
2010,indiana,5.38
2010,iowa,5.23
2010,minnesota,5.01
2010,missouri,5.35
2010,nebraska,5.09
2011,illinois,6.25
2011,indiana,6.31
2011,iowa,6.2
2011,minnesota,6.09
2011,missouri,6.4
2011,nebraska,6.11
2012,illinois,6.87
2012,indiana,7.23
2012,iowa,6.92
2012,minnesota,6.67
2012,missouri,7.34
2012,nebraska,6.85
2013,illinois,4.52
2013,indiana,4.47
2013,iowa,4.49
2013,minnesota,4.3
2013,missouri,4.57
2013,nebraska,4.47
2014,illinois,3.71
2014,indiana,3.75
2014,iowa,3.71
2014,minnesota,3.58
2014,missouri,3.54
2014,nebraska,3.77
2015,illinois,3.69
2015,indiana,3.92
2015,iowa,3.52
2015,minnesota,3.37
2015,missouri,3.69
2015,nebraska,3.57
2016,illinois,3.43
2016,indiana,3.63
2016,iowa,3.3
2016,minnesota,3.21
2016,missouri,3.4
2016,nebraska,3.32
2017,illinois,3.41
2017,indiana,3.56
2017,iowa,3.31
2017,minnesota,3.18
2017,missouri,3.41
2017,nebraska,3.35
2018,illinois,3.62
2018,indiana,3.78
2018,iowa,3.59
2018,minnesota,3.47
2018,missouri,3.68
2018,nebraska,3.58
2019,illinois,3.55
2019,indiana,3.84
2019,iowa,3.5
2019,minnesota,3.26
2019,missouri,3.67
2019,nebraska,3.52
2020,illinois,4.46
2020,indiana,4.65
2020,iowa,4.64
2020,minnesota,4.52
2020,missouri,4.59
2020,nebraska,4.47
2021,illinois,5.96
2021,indiana,6.07
2021,iowa,6.1
2021,minnesota,5.91
2021,missouri,6.15
2021,nebraska,5.96
2022,illinois,6.4
2022,indiana,6.48
2022,iowa,6.62
2022,minnesota,6.27
2022,missouri,6.71
2022,nebraska,6.77
2023,illinois,4.75
2023,indiana,4.7
2023,iowa,4.85
2023,minnesota,4.75
2023,missouri,4.8
2023,nebraska,4.95
2024,illinois,
2024,indiana,
2024,iowa,
2024,minnesota,
2024,missouri,
2024,nebraska,
