year,state,fungicide (lb/acre),herbicide (lb/acre),insecticide (lb/acre),other chemicals (lb/acre),fertilizer (lb/acre),april-nov-avg-temp,april-nov-precipitation,april-nov-pdsi,april-avg-temp,may-avg-temp,june-avg-temp,july-avg-temp,august-avg-temp,september-avg-temp,october-avg-temp,november-avg-temp,april-precipitation,may-precipitation,june-precipitation,july-precipitation,august-precipitation,september-precipitation,october-precipitation,november-precipitation,april-pdsi,may-pdsi,june-pdsi,july-pdsi,august-pdsi,september-pdsi,october-pdsi,november-pdsi,population-density,price-received,grain-yield,silage-yield,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october,april-nov-subsoil-score,april-nov-topsoil-score
1900,nebraska,,,,,,60.4,20.45,-1.49,50.1,62.2,70.8,73.2,75.6,62.9,54.2,34.0,4.49,2.11,2.11,4.31,3.27,2.29,1.73,0.14,-0.82,-1.61,-2.46,-1.67,-1.35,-1.15,-0.91,-1.28,13.794831424444984,,26.0,,,,,,,,,,,,,,,,,
1901,illinois,,,,,,62.2,16.19,-3.501428571428572,49.0,60.8,74.1,81.5,74.1,65.7,55.5,36.8,1.61,1.87,3.36,2.42,1.8,1.8,2.0,1.33,-1.41,-1.99,-2.23,-3.01,-3.72,-4.15,-4.36,-5.05,84.8506092270289,,24.0,,,,,,,,,,,,,,,,,
1901,indiana,,,,,,61.4,20.13,-3.3971428571428572,47.4,59.7,72.8,80.4,73.8,65.4,54.2,37.1,2.5,2.61,4.37,1.3,3.0,1.56,3.47,1.32,-2.11,-2.36,-2.1,-3.33,-3.58,-4.11,-3.81,-4.49,69.77021956613962,,22.0,,,,,,,,,,,,,,,,,
1901,iowa,,,,,,60.7,19.28,-2.628571428571429,48.9,60.2,71.7,82.0,73.1,62.4,52.9,34.0,1.81,2.39,3.8,2.3,1.32,4.81,2.02,0.83,-0.48,-1.05,-1.39,-2.42,-3.62,-3.14,-3.17,-3.61,39.575062983348445,0.52,28.5,,,,,,,,,,,,,,,,,
1901,minnesota,,,,,,54.0,21.08,-0.86,44.4,56.6,63.8,72.5,67.4,55.0,46.6,25.6,1.76,1.36,5.97,3.46,2.12,3.54,2.08,0.79,-0.39,-1.49,-0.44,-0.51,-1.31,-0.76,-0.62,-0.89,20.762440526535492,,27.0,,,,,,,,,,,,,,,,,
1901,missouri,,,,,,65.9,15.66,-3.815714285714286,52.8,63.5,77.5,85.0,78.1,68.4,59.2,42.5,2.89,1.39,1.99,2.01,2.02,2.16,1.7,1.5,-0.4,-1.44,-2.38,-3.47,-4.19,-4.59,-5.04,-5.6,44.87354854943528,,10.0,,,,,,,,,,,,,,,,,
1901,nebraska,,,,,,60.2,18.97,-1.7385714285714282,47.5,59.5,69.2,80.5,73.4,61.1,52.3,38.2,2.4,1.82,4.8,1.53,2.25,4.13,1.6,0.44,-1.14,-1.98,-1.42,-2.46,-2.78,-1.38,-0.95,-1.2,13.937046181398026,,14.0,,,,,,,,,,,,,,,,,
1902,illinois,,,,,,61.8,33.88,1.7485714285714289,49.3,66.2,68.6,75.2,70.7,61.6,55.8,46.9,2.41,3.94,8.27,5.1,4.76,4.07,2.23,3.1,-5.19,-4.9,1.82,2.32,2.99,3.45,3.21,3.35,86.1974442941246,,41.0,,,,,,,,,,,,,,,,,
1902,indiana,,,,,,61.8,31.47,0.78,49.2,65.4,68.8,74.9,70.2,62.7,55.4,48.1,2.05,4.43,7.85,3.66,2.27,4.88,2.61,3.72,-4.27,-3.92,1.68,1.47,0.98,1.77,1.68,1.8,70.48412185213711,,39.0,,,,,,,,,,,,,,,,,
1902,iowa,,,,,,58.3,38.61,3.68,47.2,63.2,64.7,72.6,68.4,58.2,52.4,39.5,1.74,5.54,7.13,8.63,6.72,4.45,2.33,2.07,-4.39,0.41,1.66,3.72,4.86,5.24,4.97,4.9,39.48621012528075,0.33,38.0,,,,,,,,,,,,,,,,,
1902,minnesota,,,,,,52.0,23.46,1.3728571428571428,40.2,56.3,59.8,68.4,63.4,53.0,44.3,30.3,1.54,5.01,3.21,4.22,4.07,1.95,1.91,1.55,-1.15,1.01,0.78,1.25,1.75,1.48,1.53,1.81,21.418096543162928,,23.0,,,,,,,,,,,,,,,,,
1902,missouri,,,,,,64.4,35.61,1.0671428571428572,53.2,69.3,70.9,76.8,74.9,62.4,58.5,49.2,2.67,4.9,6.75,4.25,6.3,4.57,2.42,3.75,-4.87,-4.55,0.81,1.13,2.24,2.73,2.42,2.69,45.14611805788773,,39.0,,,,,,,,,,,,,,,,,
1902,nebraska,,,,,,58.1,24.08,1.82,47.7,61.9,65.3,71.5,70.6,58.7,52.1,37.2,1.12,3.64,4.84,5.35,3.5,3.48,1.74,0.41,-1.91,-2.09,0.59,1.91,2.56,3.36,3.47,2.94,14.079260938351068,,32.5,,,,,,,,,,,,,,,,,
1903,illinois,,,,,,60.5,25.77,1.6714285714285717,51.7,64.4,65.6,75.2,71.6,64.9,53.8,36.4,4.25,3.33,2.83,3.7,4.48,3.72,2.39,1.07,2.66,2.01,1.62,1.48,1.86,1.94,1.71,1.08,87.56154647746511,,35.5,,,,,,,,,,,,,,,,,
1903,indiana,,,,,,60.1,25.77,-0.2514285714285714,50.6,64.6,65.3,74.4,71.0,65.3,53.3,36.6,4.59,3.27,3.75,3.64,4.09,1.79,2.84,1.8,-0.16,-0.62,0.15,0.08,0.46,-0.51,-0.46,-0.86,71.22548191836526,,35.0,,,,,,,,,,,,,,,,,
1903,iowa,,,,,,57.4,32.27,4.497142857142857,49.0,61.2,64.1,72.4,68.4,60.1,51.1,32.9,2.98,8.55,2.94,5.23,6.4,3.72,1.93,0.52,3.1,4.66,3.81,4.15,5.03,5.05,4.67,4.11,39.39735726721307,0.38,32.5,,,,,,,,,,,,,,,,,
1903,minnesota,,,,,,51.0,27.32,3.7342857142857144,41.5,55.1,61.3,65.7,61.6,53.2,45.7,24.1,2.63,4.76,1.94,4.87,4.61,5.09,2.93,0.49,2.63,3.31,2.06,2.73,3.45,4.74,5.21,4.64,21.8667032913817,,27.5,,,,,,,,,,,,,,,,,
1903,missouri,,,,,,62.5,31.22,2.6785714285714284,55.1,64.8,66.9,77.2,74.2,65.9,56.3,39.9,3.38,7.11,3.28,3.56,5.24,4.32,3.14,1.19,2.4,2.97,2.54,2.4,2.88,2.93,2.78,2.25,45.41868756634019,,29.5,,,,,,,,,,,,,,,,,
1903,nebraska,,,,,,57.2,23.27,4.96,48.4,57.3,63.2,72.4,69.7,59.6,51.8,35.4,1.76,6.53,2.05,5.23,4.55,1.25,1.2,0.7,2.77,4.32,3.55,4.9,6.26,5.65,5.21,4.83,14.27319015237794,,27.5,,,,,,,,,,,,,,,,,
1904,illinois,,,,,,59.9,24.93,1.1885714285714286,45.6,61.4,68.9,72.4,69.8,66.1,53.7,41.3,3.76,3.45,3.09,4.55,4.11,5.0,0.71,0.26,2.25,1.84,1.43,1.81,2.18,2.79,-0.5,-1.23,89.11558693949861,,39.0,,,,,,,,,,,,,,,,,
1904,indiana,,,,,,59.4,20.5,-0.9985714285714286,45.2,61.0,68.8,72.2,70.0,66.0,52.0,40.2,3.27,3.26,2.97,3.3,2.6,3.67,1.07,0.36,2.27,-0.3,-0.6,-0.69,-0.93,-0.67,-1.29,-2.51,71.77463752297872,,33.0,,,,,,,,,,,,,,,,,
1904,iowa,,,,,,57.7,22.69,-0.2042857142857142,43.2,59.2,66.7,70.2,68.3,63.1,51.8,39.2,3.41,3.59,3.3,4.28,3.41,2.84,1.7,0.16,3.1,-0.07,-0.43,0.43,0.43,-0.18,-0.4,-1.21,39.30850440914538,0.33,39.0,,,,,,,,,,,,,,,,,
1904,minnesota,,,,,,51.6,21.22,2.89,36.8,53.6,61.6,64.5,62.9,54.6,44.9,34.1,1.72,2.27,4.18,3.78,2.51,3.37,3.23,0.16,3.71,2.93,2.85,3.07,2.52,2.75,3.41,2.7,22.372823725269544,,25.5,,,,,,,,,,,,,,,,,
1904,missouri,,,,,,62.5,31.0,2.0642857142857145,48.3,63.0,70.4,74.0,73.2,69.1,56.8,44.9,5.56,4.59,6.48,4.58,5.05,3.64,0.89,0.21,2.75,2.51,3.01,3.32,3.87,3.68,-0.59,-1.35,45.69125707479264,,26.0,,,,,,,,,,,,,,,,,
1904,nebraska,,,,,,58.1,21.34,3.461428571428571,45.2,58.2,65.3,70.4,70.1,62.6,52.5,40.3,1.88,3.55,4.55,4.22,2.62,1.93,2.5,0.09,2.31,2.27,2.75,3.72,4.01,3.79,4.29,3.4,14.467119366404816,,33.0,,,,,,,,,,,,,,,,,
1905,illinois,,,,,,61.6,29.65,0.6785714285714286,51.1,62.5,72.1,72.5,74.1,67.3,52.7,40.4,3.64,4.48,3.4,5.04,3.56,3.2,4.23,2.1,0.02,0.16,-0.25,0.7,0.79,0.71,1.34,1.3,90.49695623908394,,42.0,,,,,,,,,,,,,,,,,
1905,indiana,,,,,,61.1,33.3,1.2985714285714285,50.2,62.4,70.8,73.1,73.0,66.4,52.6,39.9,3.74,5.76,3.76,4.45,4.68,3.6,4.7,2.61,0.02,0.56,0.4,0.7,1.27,1.43,2.29,2.44,72.35125090782286,,42.0,,,,,,,,,,,,,,,,,
1905,iowa,,,,,,58.5,30.98,1.4442857142857142,46.7,57.8,69.5,70.2,73.7,65.0,48.3,37.0,2.93,6.09,5.01,3.12,4.05,3.56,3.32,2.9,0.36,1.37,1.4,1.25,1.2,1.09,1.6,2.2,39.29073383753184,0.34,41.5,,,,,,,,,,,,,,,,,
1905,minnesota,,,,,,52.0,29.94,4.564285714285715,39.6,50.6,61.2,66.0,67.1,59.7,41.3,30.1,1.64,5.05,6.83,4.51,3.69,3.4,2.25,2.57,1.76,3.01,4.43,4.86,4.65,4.59,4.77,5.64,22.786922262086875,,34.0,,,,,,,,,,,,,,,,,
1905,missouri,,,,,,63.9,38.5,1.8214285714285712,54.2,64.8,74.8,73.2,75.8,69.0,54.3,44.7,3.18,5.25,3.12,8.13,4.66,7.37,4.9,1.89,-1.47,-1.14,-1.53,1.81,2.31,3.48,4.12,3.7,45.963826583245094,,34.0,,,,,,,,,,,,,,,,,
1905,nebraska,,,,,,57.6,27.4,6.141428571428571,45.2,55.0,67.6,69.8,73.3,64.8,46.4,38.6,3.78,5.76,4.85,4.54,2.52,3.33,1.26,1.36,3.73,5.05,5.37,6.41,6.48,6.81,6.48,6.39,14.5964055090894,,34.0,,,,,,,,,,,,,,,,,
1906,illinois,,,,,,62.2,24.6,-0.5942857142857143,54.4,63.2,69.8,73.2,75.4,69.7,52.8,38.7,2.09,2.61,3.09,2.36,4.06,4.94,1.61,3.84,-0.75,-1.26,-1.44,-1.79,0.03,0.44,-0.4,0.26,91.67112014373149,,39.0,,,,,,,,,,,,,,,,,
1906,indiana,,,,,,61.8,25.92,-0.4614285714285713,52.9,62.7,69.9,72.8,75.0,69.2,52.3,39.9,2.04,2.35,3.31,3.23,4.82,4.1,1.95,4.12,-0.79,-1.43,-1.59,-1.72,0.4,0.56,0.18,0.37,73.12006875428169,,41.0,,,,,,,,,,,,,,,,,
1906,iowa,,,,,,59.1,24.9,-0.2885714285714286,51.5,60.3,67.5,70.6,73.5,66.3,49.5,33.7,2.41,3.42,3.78,3.18,3.97,4.14,1.94,2.06,-0.34,-0.5,-0.67,-0.63,-0.6,0.1,0.03,0.25,39.34404555237245,0.32,45.5,,,,,,,,,,,,,,,,,
1906,minnesota,,,,,,53.3,26.11,3.661428571428572,46.0,51.9,62.4,66.8,66.5,61.4,43.4,28.0,1.64,4.9,4.74,2.71,4.48,3.31,2.23,2.1,2.83,3.8,3.93,3.35,3.64,3.45,3.49,3.97,22.85593868488976,,34.0,,,,,,,,,,,,,,,,,
1906,missouri,,,,,,63.9,27.81,1.6985714285714288,58.2,65.4,71.7,73.9,75.6,71.3,54.8,40.5,2.43,2.43,4.99,3.55,4.91,4.91,1.09,3.5,2.72,1.61,1.62,1.64,2.03,2.15,1.37,1.47,46.23639609169754,,32.5,,,,,,,,,,,,,,,,,
1906,nebraska,,,,,,57.8,22.43,5.247142857142857,51.1,59.2,65.6,69.6,71.4,63.4,47.6,34.4,4.51,2.77,2.49,2.48,3.71,3.04,2.75,0.68,6.34,5.63,4.8,4.58,5.07,5.24,5.91,5.5,14.712763037505525,,34.0,,,,,,,,,,,,,,,,,
1907,illinois,,,,,,58.6,29.04,2.2771428571428567,43.1,55.9,67.7,75.2,72.0,64.7,51.5,38.3,2.79,4.02,4.35,5.94,5.49,2.6,1.65,2.2,0.88,1.07,1.3,2.19,3.17,2.95,2.63,2.63,92.96615386209272,,39.0,,,,,,,,,,,,,,,,,
1907,indiana,,,,,,57.4,28.41,2.2057142857142855,41.7,55.5,66.8,73.8,70.2,64.1,49.7,37.5,2.69,3.51,4.81,5.11,4.01,2.86,2.64,2.78,1.38,1.3,1.7,2.16,2.52,2.43,2.57,2.76,73.55939323797246,,36.5,,,,,,,,,,,,,,,,,
1907,iowa,,,,,,56.1,27.02,1.69,40.6,52.7,66.1,73.4,70.3,61.9,49.0,35.1,1.3,3.59,5.26,7.1,4.36,2.86,1.54,1.01,-0.69,0.28,0.71,2.18,2.45,2.3,2.06,1.85,39.39735726721307,0.43,35.0,,,,,,,,,,,,,,,,,
1907,minnesota,,,,,,49.5,19.38,2.7285714285714286,32.3,43.7,62.3,66.9,64.3,54.1,43.2,29.2,1.03,2.19,3.96,3.34,4.01,3.22,1.09,0.54,3.0,2.95,2.76,2.63,2.87,3.09,2.66,2.14,22.94796058196028,,27.0,,,,,,,,,,,,,,,,,
1907,missouri,,,,,,61.8,29.52,1.8085714285714285,47.2,58.7,70.2,77.5,76.5,67.7,55.2,41.7,3.3,5.44,5.52,4.35,3.88,2.08,2.75,2.2,1.43,1.83,2.09,2.29,2.33,1.67,1.4,1.05,46.50896560015,,31.0,,,,,,,,,,,,,,,,,
1907,nebraska,,,,,,56.7,17.5,3.9014285714285712,41.4,52.6,66.2,73.1,72.0,62.0,51.2,35.3,0.94,3.08,3.9,4.32,2.19,2.3,0.53,0.24,3.59,3.61,3.66,4.6,4.5,4.41,3.59,2.94,14.854977794458565,,24.0,,,,,,,,,,,,,,,,,
1908,illinois,,,,,,62.1,25.38,-0.7185714285714285,51.6,62.5,69.8,74.7,73.1,69.4,53.7,42.0,4.49,7.84,2.83,3.37,2.38,1.28,0.5,2.69,2.94,4.0,-0.36,-0.42,-0.85,-1.78,-2.64,-2.98,94.5201943241262,,35.0,,,,,,,,,,,,,,,,,
1908,indiana,,,,,,61.9,20.35,-1.8128571428571427,51.2,62.6,69.8,74.5,72.8,69.2,53.2,41.8,4.34,6.07,1.98,2.79,1.83,0.96,0.31,2.07,3.44,3.73,-0.78,-1.27,-2.08,-3.15,-4.18,-4.96,73.5044776775111,,30.5,,,,,,,,,,,,,,,,,
1908,iowa,,,,,,59.0,30.44,2.5585714285714283,49.4,59.0,66.6,72.7,69.4,67.0,50.0,37.5,2.29,8.12,5.49,3.66,4.75,1.25,3.34,1.54,1.07,2.78,3.02,2.82,3.09,1.95,2.25,2.0,39.45066898205368,0.57,38.0,,,,,,,,,,,,,,,,,
1908,minnesota,,,,,,53.5,24.16,2.682857142857143,43.5,52.4,61.6,68.2,63.7,62.0,45.0,31.4,2.27,5.84,5.64,3.0,2.27,2.11,1.79,1.24,1.92,3.5,4.2,3.68,2.82,1.89,1.53,1.16,23.235529010305648,,29.0,,,,,,,,,,,,,,,,,
1908,missouri,,,,,,64.1,33.36,1.1085714285714283,54.8,65.4,71.3,75.7,75.3,70.1,54.8,45.2,5.82,6.56,5.77,3.43,3.59,2.22,2.23,3.74,1.89,2.29,2.54,2.42,2.33,-0.5,-0.76,-0.56,46.767189344999686,,27.0,,,,,,,,,,,,,,,,,
1908,nebraska,,,,,,58.1,24.11,3.637142857142857,50.1,55.9,65.5,71.7,69.4,67.0,48.4,37.0,1.16,4.93,6.13,4.16,3.53,0.73,2.8,0.67,0.73,1.44,2.75,3.79,4.78,3.78,4.63,4.29,15.010121165680063,0.51,27.0,,,,,,,,,,,,,,,,,
