year,state,fungicide (lb/acre),herbicide (lb/acre),insecticide (lb/acre),other chemicals (lb/acre),fertilizer (lb/acre),april-avg-temp,may-avg-temp,june-avg-temp,july-avg-temp,august-avg-temp,september-avg-temp,october-avg-temp,november-avg-temp,april-precipitation,may-precipitation,june-precipitation,july-precipitation,august-precipitation,september-precipitation,october-precipitation,november-precipitation,april-pdsi,may-pdsi,june-pdsi,july-pdsi,august-pdsi,september-pdsi,october-pdsi,november-pdsi,population-density,price-received,grain-yield,silage-yield,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october
1896,missouri,,,,,,61.8,70.0,72.7,77.6,76.7,65.2,54.0,42.1,3.6,8.77,4.04,5.41,3.41,4.41,2.63,2.39,1.02,2.02,1.69,2.29,2.14,2.29,2.08,1.92,,,29.5,,,,,,,,,,,,,,,
1896,nebraska,,,,,,50.4,62.2,68.8,72.8,71.2,58.2,46.7,24.7,4.88,3.72,3.96,3.87,1.81,2.19,1.71,1.11,1.6,1.66,1.82,2.74,2.54,2.68,2.97,3.15,,,37.5,,,,,,,,,,,,,,,
1897,illinois,,,,,,49.9,58.6,70.8,76.6,71.6,71.3,59.6,39.5,4.28,1.85,4.59,3.51,1.16,0.99,0.46,4.03,3.31,-0.63,-0.34,-0.39,-1.27,-2.41,-3.51,-3.28,,,34.0,,,,,,,,,,,,,,,
1897,indiana,,,,,,49.3,57.2,69.3,76.3,70.5,68.5,58.0,40.8,4.16,3.11,4.12,3.23,1.6,0.56,1.11,6.35,3.4,-0.17,-0.03,-0.33,-1.07,-2.3,-3.22,0.53,,,30.5,,,,,,,,,,,,,,,
1897,iowa,,,,,,47.0,57.8,68.2,75.0,68.0,70.0,55.4,32.6,4.96,1.89,3.9,3.17,2.05,1.97,1.02,0.63,3.68,-0.7,-0.85,-1.1,-1.69,-2.59,-3.3,-3.92,,0.17,33.5,,,,,,,,,,,,,,,
1897,minnesota,,,,,,41.6,53.5,60.8,70.5,62.9,63.0,47.0,22.9,1.55,1.37,5.25,7.32,2.31,1.68,1.61,0.55,3.01,1.78,2.36,4.29,-0.25,-0.94,-1.08,-1.51,,,28.0,,,,,,,,,,,,,,,
1897,missouri,,,,,,54.0,62.2,73.6,78.9,74.1,73.8,62.5,42.7,4.59,2.44,5.95,3.31,2.56,0.69,0.73,2.54,3.92,-0.65,-0.17,-0.17,-0.41,-1.61,-2.72,-3.03,,,26.0,,,,,,,,,,,,,,,
1897,nebraska,,,,,,46.5,59.7,67.7,74.1,69.1,69.4,52.0,33.1,3.82,1.64,3.47,2.51,2.64,1.11,2.92,0.49,4.13,3.04,2.79,2.57,2.58,1.53,2.39,2.07,,,30.0,,,,,,,,,,,,,,,
1898,illinois,,,,,,48.9,61.8,72.9,75.0,73.1,68.9,51.2,36.5,3.23,6.11,4.48,2.99,4.25,4.8,3.99,2.2,2.22,2.75,2.6,2.15,2.3,2.59,3.04,3.04,,,31.0,,,,,,,,,,,,,,,
1898,indiana,,,,,,48.3,62.0,72.5,75.5,73.0,68.8,52.5,36.8,2.13,4.45,3.73,2.9,3.63,4.43,4.67,2.88,1.89,1.78,1.39,0.78,0.67,0.94,1.64,1.78,,,38.5,,,,,,,,,,,,,,,
1898,iowa,,,,,,47.0,59.0,70.8,72.9,71.4,64.5,46.5,30.8,2.47,4.47,4.4,2.68,3.39,2.62,3.58,1.46,-3.09,-2.46,-2.35,-2.45,-2.44,-2.67,0.64,0.59,,0.23,36.0,,,,,,,,,,,,,,,
1898,minnesota,,,,,,41.2,53.2,63.8,67.9,64.5,58.0,40.1,23.8,1.31,3.14,4.44,3.27,3.05,1.75,3.32,0.95,-2.13,0.14,0.4,0.44,-0.05,-0.6,1.0,0.99,,,30.5,,,,,,,,,,,,,,,
1898,missouri,,,,,,52.0,65.4,75.4,76.2,75.7,70.8,53.2,39.4,3.56,7.43,5.76,5.73,3.26,6.75,4.34,2.38,2.2,2.87,2.88,3.55,3.35,4.04,4.46,4.29,,,30.0,,,,,,,,,,,,,,,
1898,nebraska,,,,,,47.4,55.8,69.5,72.9,72.8,62.2,44.9,29.8,1.91,5.18,3.12,2.39,2.02,2.15,0.78,0.59,1.34,2.31,-0.12,0.2,-0.14,-0.02,-0.07,-0.09,,,21.0,,,,,,,,,,,,,,,
1899,illinois,,,,,,52.6,63.2,72.6,74.5,75.5,64.6,58.2,44.9,1.54,5.99,2.5,3.54,2.77,2.05,3.23,1.8,-0.88,-0.19,-0.8,-0.8,-1.18,-1.58,-1.54,-2.16,,,38.8,,,,,,,,,,,,,,,
1899,indiana,,,,,,53.3,63.4,73.0,74.7,75.1,65.0,57.6,43.8,1.51,3.95,2.93,3.34,2.75,1.84,2.99,2.52,-1.03,-1.2,-1.66,-1.83,-2.24,-2.67,-2.73,-3.22,,,39.8,,,,,,,,,,,,,,,
1899,iowa,,,,,,48.0,59.6,70.1,72.5,73.5,61.7,55.6,42.6,2.37,6.04,5.17,3.1,3.54,0.96,1.83,1.19,-0.64,0.93,1.04,-0.12,-0.26,-1.15,-1.53,-2.14,,0.23,39.1,,,,,,,,,,,,,,,
1899,minnesota,,,,,,41.4,52.8,63.7,68.4,66.6,54.3,45.8,36.6,1.7,4.54,5.55,3.3,5.56,1.6,3.07,0.62,0.79,1.7,2.4,2.23,3.28,2.68,3.22,2.7,,,32.8,,,,,,,,,,,,,,,
1899,missouri,,,,,,53.6,66.9,74.0,75.9,78.7,67.0,61.8,48.5,3.55,6.17,3.81,4.7,3.12,2.0,3.16,2.05,2.76,2.86,2.32,2.6,-0.17,-0.69,-0.91,-1.44,,,28.1,,,,,,,,,,,,,,,
1899,nebraska,,,,,,47.2,58.0,68.6,72.6,72.9,63.1,51.0,41.9,1.0,3.68,3.81,2.96,2.81,0.42,0.94,0.84,-1.07,-0.95,-0.85,-0.71,-0.55,-1.5,-1.62,-1.76,,,28.8,,,,,,,,,,,,,,,
1900,illinois,,,,,,52.3,63.9,70.3,74.6,78.8,68.3,60.6,39.3,1.51,4.19,4.3,4.35,4.12,3.41,2.51,2.87,-2.22,-2.09,-1.68,-1.11,-0.79,-0.68,-0.89,-0.78,83.36563722997468,,40.0,,,,,,,,,,,,,,,
1900,indiana,,,,,,51.4,63.9,70.4,74.6,77.7,69.1,60.4,40.8,1.58,4.28,5.66,4.79,3.31,2.01,2.42,4.07,-3.05,-2.86,-1.87,-1.22,-1.19,-1.65,-1.96,-1.68,69.13869062083414,,41.5,,,,,,,,,,,,,,,
1900,iowa,,,,,,51.6,62.9,69.0,73.1,76.9,63.8,58.4,32.0,2.69,3.13,3.95,6.59,4.73,5.02,3.97,1.06,-1.86,-2.13,-2.15,1.23,1.41,1.99,2.53,2.45,39.646145269802595,0.27,45.0,,,,,,,,,,,,,,,
1900,minnesota,,,,,,48.1,57.5,64.8,66.7,71.6,56.7,52.6,22.6,1.3,0.8,1.65,4.52,6.8,5.81,3.28,0.68,-0.93,-2.39,-3.79,0.18,1.47,2.99,3.46,3.2,20.175800932710946,,33.0,,,,,,,,,,,,,,,
1900,missouri,,,,,,55.9,65.9,73.0,76.6,79.9,70.9,61.5,43.0,3.37,3.67,5.23,4.37,3.59,4.83,3.94,2.92,-1.22,-1.51,0.24,0.66,0.62,0.83,0.91,0.99,44.58663327738007,,29.5,,,,,,,,,,,,,,,
1900,nebraska,,,,,,50.1,62.2,70.8,73.2,75.6,62.9,54.2,34.0,4.49,2.11,2.11,4.31,3.27,2.29,1.73,0.14,-0.82,-1.61,-2.46,-1.67,-1.35,-1.15,-0.91,-1.28,13.794831424444984,,26.0,,,,,,,,,,,,,,,
1901,illinois,,,,,,49.0,60.8,74.1,81.5,74.1,65.7,55.5,36.8,1.61,1.87,3.36,2.42,1.8,1.8,2.0,1.33,-1.41,-1.99,-2.23,-3.01,-3.72,-4.15,-4.36,-5.05,84.8506092270289,,24.0,,,,,,,,,,,,,,,
1901,indiana,,,,,,47.4,59.7,72.8,80.4,73.8,65.4,54.2,37.1,2.5,2.61,4.37,1.3,3.0,1.56,3.47,1.32,-2.11,-2.36,-2.1,-3.33,-3.58,-4.11,-3.81,-4.49,69.77021956613962,,22.0,,,,,,,,,,,,,,,
1901,iowa,,,,,,48.9,60.2,71.7,82.0,73.1,62.4,52.9,34.0,1.81,2.39,3.8,2.3,1.32,4.81,2.02,0.83,-0.48,-1.05,-1.39,-2.42,-3.62,-3.14,-3.17,-3.61,39.575062983348445,0.52,28.5,,,,,,,,,,,,,,,
1901,minnesota,,,,,,44.4,56.6,63.8,72.5,67.4,55.0,46.6,25.6,1.76,1.36,5.97,3.46,2.12,3.54,2.08,0.79,-0.39,-1.49,-0.44,-0.51,-1.31,-0.76,-0.62,-0.89,20.762440526535492,,27.0,,,,,,,,,,,,,,,
1901,missouri,,,,,,52.8,63.5,77.5,85.0,78.1,68.4,59.2,42.5,2.89,1.39,1.99,2.01,2.02,2.16,1.7,1.5,-0.4,-1.44,-2.38,-3.47,-4.19,-4.59,-5.04,-5.6,44.87354854943528,,10.0,,,,,,,,,,,,,,,
1901,nebraska,,,,,,47.5,59.5,69.2,80.5,73.4,61.1,52.3,38.2,2.4,1.82,4.8,1.53,2.25,4.13,1.6,0.44,-1.14,-1.98,-1.42,-2.46,-2.78,-1.38,-0.95,-1.2,13.937046181398026,,14.0,,,,,,,,,,,,,,,
1902,illinois,,,,,,49.3,66.2,68.6,75.2,70.7,61.6,55.8,46.9,2.41,3.94,8.27,5.1,4.76,4.07,2.23,3.1,-5.19,-4.9,1.82,2.32,2.99,3.45,3.21,3.35,86.1974442941246,,41.0,,,,,,,,,,,,,,,
1902,indiana,,,,,,49.2,65.4,68.8,74.9,70.2,62.7,55.4,48.1,2.05,4.43,7.85,3.66,2.27,4.88,2.61,3.72,-4.27,-3.92,1.68,1.47,0.98,1.77,1.68,1.8,70.48412185213711,,39.0,,,,,,,,,,,,,,,
1902,iowa,,,,,,47.2,63.2,64.7,72.6,68.4,58.2,52.4,39.5,1.74,5.54,7.13,8.63,6.72,4.45,2.33,2.07,-4.39,0.41,1.66,3.72,4.86,5.24,4.97,4.9,39.48621012528075,0.33,38.0,,,,,,,,,,,,,,,
1902,minnesota,,,,,,40.2,56.3,59.8,68.4,63.4,53.0,44.3,30.3,1.54,5.01,3.21,4.22,4.07,1.95,1.91,1.55,-1.15,1.01,0.78,1.25,1.75,1.48,1.53,1.81,21.418096543162928,,23.0,,,,,,,,,,,,,,,
1902,missouri,,,,,,53.2,69.3,70.9,76.8,74.9,62.4,58.5,49.2,2.67,4.9,6.75,4.25,6.3,4.57,2.42,3.75,-4.87,-4.55,0.81,1.13,2.24,2.73,2.42,2.69,45.14611805788773,,39.0,,,,,,,,,,,,,,,
1902,nebraska,,,,,,47.7,61.9,65.3,71.5,70.6,58.7,52.1,37.2,1.12,3.64,4.84,5.35,3.5,3.48,1.74,0.41,-1.91,-2.09,0.59,1.91,2.56,3.36,3.47,2.94,14.079260938351068,,32.5,,,,,,,,,,,,,,,
1903,illinois,,,,,,51.7,64.4,65.6,75.2,71.6,64.9,53.8,36.4,4.25,3.33,2.83,3.7,4.48,3.72,2.39,1.07,2.66,2.01,1.62,1.48,1.86,1.94,1.71,1.08,87.56154647746511,,35.5,,,,,,,,,,,,,,,
1903,indiana,,,,,,50.6,64.6,65.3,74.4,71.0,65.3,53.3,36.6,4.59,3.27,3.75,3.64,4.09,1.79,2.84,1.8,-0.16,-0.62,0.15,0.08,0.46,-0.51,-0.46,-0.86,71.22548191836526,,35.0,,,,,,,,,,,,,,,
1903,iowa,,,,,,49.0,61.2,64.1,72.4,68.4,60.1,51.1,32.9,2.98,8.55,2.94,5.23,6.4,3.72,1.93,0.52,3.1,4.66,3.81,4.15,5.03,5.05,4.67,4.11,39.39735726721307,0.38,32.5,,,,,,,,,,,,,,,
1903,minnesota,,,,,,41.5,55.1,61.3,65.7,61.6,53.2,45.7,24.1,2.63,4.76,1.94,4.87,4.61,5.09,2.93,0.49,2.63,3.31,2.06,2.73,3.45,4.74,5.21,4.64,21.8667032913817,,27.5,,,,,,,,,,,,,,,
1903,missouri,,,,,,55.1,64.8,66.9,77.2,74.2,65.9,56.3,39.9,3.38,7.11,3.28,3.56,5.24,4.32,3.14,1.19,2.4,2.97,2.54,2.4,2.88,2.93,2.78,2.25,45.41868756634019,,29.5,,,,,,,,,,,,,,,
1903,nebraska,,,,,,48.4,57.3,63.2,72.4,69.7,59.6,51.8,35.4,1.76,6.53,2.05,5.23,4.55,1.25,1.2,0.7,2.77,4.32,3.55,4.9,6.26,5.65,5.21,4.83,14.27319015237794,,27.5,,,,,,,,,,,,,,,
1904,illinois,,,,,,45.6,61.4,68.9,72.4,69.8,66.1,53.7,41.3,3.76,3.45,3.09,4.55,4.11,5.0,0.71,0.26,2.25,1.84,1.43,1.81,2.18,2.79,-0.5,-1.23,89.11558693949861,,39.0,,,,,,,,,,,,,,,
1904,indiana,,,,,,45.2,61.0,68.8,72.2,70.0,66.0,52.0,40.2,3.27,3.26,2.97,3.3,2.6,3.67,1.07,0.36,2.27,-0.3,-0.6,-0.69,-0.93,-0.67,-1.29,-2.51,71.77463752297872,,33.0,,,,,,,,,,,,,,,
1904,iowa,,,,,,43.2,59.2,66.7,70.2,68.3,63.1,51.8,39.2,3.41,3.59,3.3,4.28,3.41,2.84,1.7,0.16,3.1,-0.07,-0.43,0.43,0.43,-0.18,-0.4,-1.21,39.30850440914538,0.33,39.0,,,,,,,,,,,,,,,
1904,minnesota,,,,,,36.8,53.6,61.6,64.5,62.9,54.6,44.9,34.1,1.72,2.27,4.18,3.78,2.51,3.37,3.23,0.16,3.71,2.93,2.85,3.07,2.52,2.75,3.41,2.7,22.372823725269544,,25.5,,,,,,,,,,,,,,,
1904,missouri,,,,,,48.3,63.0,70.4,74.0,73.2,69.1,56.8,44.9,5.56,4.59,6.48,4.58,5.05,3.64,0.89,0.21,2.75,2.51,3.01,3.32,3.87,3.68,-0.59,-1.35,45.69125707479264,,26.0,,,,,,,,,,,,,,,
1904,nebraska,,,,,,45.2,58.2,65.3,70.4,70.1,62.6,52.5,40.3,1.88,3.55,4.55,4.22,2.62,1.93,2.5,0.09,2.31,2.27,2.75,3.72,4.01,3.79,4.29,3.4,14.467119366404816,,33.0,,,,,,,,,,,,,,,
1905,illinois,,,,,,51.1,62.5,72.1,72.5,74.1,67.3,52.7,40.4,3.64,4.48,3.4,5.04,3.56,3.2,4.23,2.1,0.02,0.16,-0.25,0.7,0.79,0.71,1.34,1.3,90.49695623908394,,42.0,,,,,,,,,,,,,,,
1905,indiana,,,,,,50.2,62.4,70.8,73.1,73.0,66.4,52.6,39.9,3.74,5.76,3.76,4.45,4.68,3.6,4.7,2.61,0.02,0.56,0.4,0.7,1.27,1.43,2.29,2.44,72.35125090782286,,42.0,,,,,,,,,,,,,,,
1905,iowa,,,,,,46.7,57.8,69.5,70.2,73.7,65.0,48.3,37.0,2.93,6.09,5.01,3.12,4.05,3.56,3.32,2.9,0.36,1.37,1.4,1.25,1.2,1.09,1.6,2.2,39.29073383753184,0.34,41.5,,,,,,,,,,,,,,,
1905,minnesota,,,,,,39.6,50.6,61.2,66.0,67.1,59.7,41.3,30.1,1.64,5.05,6.83,4.51,3.69,3.4,2.25,2.57,1.76,3.01,4.43,4.86,4.65,4.59,4.77,5.64,22.786922262086875,,34.0,,,,,,,,,,,,,,,
1905,missouri,,,,,,54.2,64.8,74.8,73.2,75.8,69.0,54.3,44.7,3.18,5.25,3.12,8.13,4.66,7.37,4.9,1.89,-1.47,-1.14,-1.53,1.81,2.31,3.48,4.12,3.7,45.963826583245094,,34.0,,,,,,,,,,,,,,,
1905,nebraska,,,,,,45.2,55.0,67.6,69.8,73.3,64.8,46.4,38.6,3.78,5.76,4.85,4.54,2.52,3.33,1.26,1.36,3.73,5.05,5.37,6.41,6.48,6.81,6.48,6.39,14.5964055090894,,34.0,,,,,,,,,,,,,,,
1906,illinois,,,,,,54.4,63.2,69.8,73.2,75.4,69.7,52.8,38.7,2.09,2.61,3.09,2.36,4.06,4.94,1.61,3.84,-0.75,-1.26,-1.44,-1.79,0.03,0.44,-0.4,0.26,91.67112014373149,,39.0,,,,,,,,,,,,,,,
1906,indiana,,,,,,52.9,62.7,69.9,72.8,75.0,69.2,52.3,39.9,2.04,2.35,3.31,3.23,4.82,4.1,1.95,4.12,-0.79,-1.43,-1.59,-1.72,0.4,0.56,0.18,0.37,73.12006875428169,,41.0,,,,,,,,,,,,,,,
1906,iowa,,,,,,51.5,60.3,67.5,70.6,73.5,66.3,49.5,33.7,2.41,3.42,3.78,3.18,3.97,4.14,1.94,2.06,-0.34,-0.5,-0.67,-0.63,-0.6,0.1,0.03,0.25,39.34404555237245,0.32,45.5,,,,,,,,,,,,,,,
1906,minnesota,,,,,,46.0,51.9,62.4,66.8,66.5,61.4,43.4,28.0,1.64,4.9,4.74,2.71,4.48,3.31,2.23,2.1,2.83,3.8,3.93,3.35,3.64,3.45,3.49,3.97,22.85593868488976,,34.0,,,,,,,,,,,,,,,
1906,missouri,,,,,,58.2,65.4,71.7,73.9,75.6,71.3,54.8,40.5,2.43,2.43,4.99,3.55,4.91,4.91,1.09,3.5,2.72,1.61,1.62,1.64,2.03,2.15,1.37,1.47,46.23639609169754,,32.5,,,,,,,,,,,,,,,
1906,nebraska,,,,,,51.1,59.2,65.6,69.6,71.4,63.4,47.6,34.4,4.51,2.77,2.49,2.48,3.71,3.04,2.75,0.68,6.34,5.63,4.8,4.58,5.07,5.24,5.91,5.5,14.712763037505525,,34.0,,,,,,,,,,,,,,,
1907,illinois,,,,,,43.1,55.9,67.7,75.2,72.0,64.7,51.5,38.3,2.79,4.02,4.35,5.94,5.49,2.6,1.65,2.2,0.88,1.07,1.3,2.19,3.17,2.95,2.63,2.63,92.96615386209272,,39.0,,,,,,,,,,,,,,,
1907,indiana,,,,,,41.7,55.5,66.8,73.8,70.2,64.1,49.7,37.5,2.69,3.51,4.81,5.11,4.01,2.86,2.64,2.78,1.38,1.3,1.7,2.16,2.52,2.43,2.57,2.76,73.55939323797246,,36.5,,,,,,,,,,,,,,,
1907,iowa,,,,,,40.6,52.7,66.1,73.4,70.3,61.9,49.0,35.1,1.3,3.59,5.26,7.1,4.36,2.86,1.54,1.01,-0.69,0.28,0.71,2.18,2.45,2.3,2.06,1.85,39.39735726721307,0.43,35.0,,,,,,,,,,,,,,,
1907,minnesota,,,,,,32.3,43.7,62.3,66.9,64.3,54.1,43.2,29.2,1.03,2.19,3.96,3.34,4.01,3.22,1.09,0.54,3.0,2.95,2.76,2.63,2.87,3.09,2.66,2.14,22.94796058196028,,27.0,,,,,,,,,,,,,,,
1907,missouri,,,,,,47.2,58.7,70.2,77.5,76.5,67.7,55.2,41.7,3.3,5.44,5.52,4.35,3.88,2.08,2.75,2.2,1.43,1.83,2.09,2.29,2.33,1.67,1.4,1.05,46.50896560015,,31.0,,,,,,,,,,,,,,,
1907,nebraska,,,,,,41.4,52.6,66.2,73.1,72.0,62.0,51.2,35.3,0.94,3.08,3.9,4.32,2.19,2.3,0.53,0.24,3.59,3.61,3.66,4.6,4.5,4.41,3.59,2.94,14.854977794458565,,24.0,,,,,,,,,,,,,,,
1908,illinois,,,,,,51.6,62.5,69.8,74.7,73.1,69.4,53.7,42.0,4.49,7.84,2.83,3.37,2.38,1.28,0.5,2.69,2.94,4.0,-0.36,-0.42,-0.85,-1.78,-2.64,-2.98,94.5201943241262,,35.0,,,,,,,,,,,,,,,
1908,indiana,,,,,,51.2,62.6,69.8,74.5,72.8,69.2,53.2,41.8,4.34,6.07,1.98,2.79,1.83,0.96,0.31,2.07,3.44,3.73,-0.78,-1.27,-2.08,-3.15,-4.18,-4.96,73.5044776775111,,30.5,,,,,,,,,,,,,,,
1908,iowa,,,,,,49.4,59.0,66.6,72.7,69.4,67.0,50.0,37.5,2.29,8.12,5.49,3.66,4.75,1.25,3.34,1.54,1.07,2.78,3.02,2.82,3.09,1.95,2.25,2.0,39.45066898205368,0.57,38.0,,,,,,,,,,,,,,,
1908,minnesota,,,,,,43.5,52.4,61.6,68.2,63.7,62.0,45.0,31.4,2.27,5.84,5.64,3.0,2.27,2.11,1.79,1.24,1.92,3.5,4.2,3.68,2.82,1.89,1.53,1.16,23.235529010305648,,29.0,,,,,,,,,,,,,,,
1908,missouri,,,,,,54.8,65.4,71.3,75.7,75.3,70.1,54.8,45.2,5.82,6.56,5.77,3.43,3.59,2.22,2.23,3.74,1.89,2.29,2.54,2.42,2.33,-0.5,-0.76,-0.56,46.767189344999686,,27.0,,,,,,,,,,,,,,,
1908,nebraska,,,,,,50.1,55.9,65.5,71.7,69.4,67.0,48.4,37.0,1.16,4.93,6.13,4.16,3.53,0.73,2.8,0.67,0.73,1.44,2.75,3.79,4.78,3.78,4.63,4.29,15.010121165680063,0.51,27.0,,,,,,,,,,,,,,,
1909,illinois,,,,,,49.3,59.4,71.3,72.8,76.3,63.9,50.2,48.8,6.09,4.06,4.07,4.7,2.07,3.75,2.64,4.06,1.58,1.55,1.44,1.91,1.16,1.31,1.32,1.52,96.12603613489416,0.56,38.8,,,,,,,,,,,,,,,
1909,indiana,,,,,,48.7,58.8,71.1,71.5,73.7,62.8,48.4,49.1,5.26,4.58,5.4,5.27,3.37,2.63,3.56,3.22,1.43,1.57,1.96,2.57,2.44,2.27,2.78,2.84,73.53193545774178,0.55,39.9,,,,,,,,,,,,,,,
1909,iowa,,,,,,42.9,57.2,68.6,71.8,75.4,61.5,48.4,40.8,4.49,4.37,6.29,4.69,1.88,3.64,2.05,5.35,2.84,2.91,3.36,3.6,2.47,2.28,2.06,3.36,39.503980696894295,0.52,37.1,,,,,,,,,,,,,,,
1909,minnesota,,,,,,33.8,51.4,63.9,67.7,69.2,57.0,42.8,30.8,1.67,3.18,3.22,4.15,4.68,2.91,1.8,2.46,1.02,1.2,0.69,1.11,1.59,1.6,1.63,2.48,23.592113861453903,0.5,33.9,,,,,,,,,,,,,,,
1909,missouri,,,,,,53.2,62.4,73.0,76.4,79.0,68.0,56.0,51.9,4.74,5.54,5.35,5.93,0.47,4.6,2.76,4.52,1.04,1.33,1.47,2.35,-0.96,0.21,0.07,0.36,47.03975885345214,,26.9,,,,,,,,,,,,,,,
1909,nebraska,,,,,,43.3,56.4,68.1,73.7,75.7,62.6,50.0,38.1,1.13,3.37,3.95,3.73,2.38,2.88,1.09,2.55,3.58,3.63,3.62,4.27,4.11,4.31,3.89,4.77,15.216978993975395,0.5,24.8,,,,,,,,,,,,,,,
1910,illinois,,,,,,52.1,57.0,69.3,75.5,72.2,65.9,56.7,35.7,3.35,4.99,2.21,4.12,2.72,4.53,3.23,1.04,-1.92,-1.13,-1.6,-1.3,-1.44,-0.84,-0.61,-1.02,97.87001487562064,0.45,41.0,,,,,,,,,,,,,,,
1910,indiana,,,,,,51.3,56.2,67.6,74.2,70.6,65.8,55.6,35.3,3.53,3.8,2.01,5.86,2.4,5.0,5.15,1.8,-2.1,-1.75,-2.23,0.79,0.39,1.15,2.12,2.09,74.49295776581533,0.45,39.0,,,,,,,,,,,,,,,
1910,iowa,,,,,,51.7,54.9,69.0,74.2,71.4,62.4,54.0,31.7,1.52,3.28,2.01,1.85,4.09,3.74,0.82,0.34,-2.34,-2.19,-3.0,-3.73,-3.56,-3.36,-3.94,-4.58,39.59283355496198,0.42,41.5,,,,,,,,,,,,,,,
1910,minnesota,,,,,,46.4,50.1,66.8,69.2,64.2,56.6,48.7,23.0,1.62,1.43,1.5,2.1,2.13,2.57,0.98,0.58,-1.68,-2.16,-3.58,-4.46,-4.98,-4.87,-5.44,-6.03,23.994709661137417,0.46,32.0,,,,,,,,,,,,,,,
1910,missouri,,,,,,54.3,60.2,70.1,76.8,74.6,69.0,58.5,41.2,3.42,6.32,3.82,5.88,2.83,5.63,2.81,0.38,-1.56,0.78,0.62,1.54,1.4,1.92,0.01,-0.52,47.35536565271288,,33.0,,,,,,,,,,,,,,,
